SCEDTimestamp,RepeatedHourFlag,SettlementPoint,LMP
04/14/2022 07:25:16,N,AEEC,       31.70
04/14/2022 07:25:16,N,AJAXWIND_RN,       31.60
04/14/2022 07:25:16,N,ALGOD_ALL_RN,       30.01
04/14/2022 07:25:16,N,ALVIN_RN,       30.90
04/14/2022 07:25:16,N,AMADEUS_ALL,       31.75
04/14/2022 07:25:16,N,AMISTAD_ALL,       14.59
04/14/2022 07:25:16,N,AMOCOOIL_CC1,       30.93
04/14/2022 07:25:16,N,AMOCOOIL_CC2,       30.93
04/14/2022 07:25:16,N,AMOCO_PUN1,       30.93
04/14/2022 07:25:16,N,AMOCO_PUN2,       30.93
04/14/2022 07:25:16,N,AMO_AMOCO_1,       30.93
04/14/2022 07:25:16,N,AMO_AMOCO_2,       30.93
04/14/2022 07:25:16,N,AMO_AMOCO_5,       30.93
04/14/2022 07:25:16,N,AMO_AMOCO_G1,       30.93
04/14/2022 07:25:16,N,AMO_AMOCO_G2,       30.93
04/14/2022 07:25:16,N,AMO_AMOCO_G3,       30.93
04/14/2022 07:25:16,N,AMO_AMOCO_S1,       30.93
04/14/2022 07:25:16,N,AMO_AMOCO_S2,       30.93
04/14/2022 07:25:16,N,ANACACHO_ANA,       21.82
04/14/2022 07:25:16,N,ANCHOR_ALL,       31.51
04/14/2022 07:25:16,N,ANSON1_ALL,       31.66
04/14/2022 07:25:16,N,AQUI_ALL,       31.41
04/14/2022 07:25:16,N,ARAGORN_RN,       32.28
04/14/2022 07:25:16,N,ASTRA_RN,       31.67
04/14/2022 07:25:16,N,ATK_ATKINSG7,       31.14
04/14/2022 07:25:16,N,AUSTPL_ALL,       30.84
04/14/2022 07:25:16,N,AVIAT_ALL,       31.88
04/14/2022 07:25:16,N,AZURE_RN,       31.63
04/14/2022 07:25:16,N,AZ_ALL,       30.96
04/14/2022 07:25:16,N,BAC_RN_ALL,       30.93
04/14/2022 07:25:16,N,BAFFIN_ALL,       -4.01
04/14/2022 07:25:16,N,BAIRDWND_ALL,       31.57
04/14/2022 07:25:16,N,BARROW_ALL,       32.15
04/14/2022 07:25:16,N,BASTEN_CC1,       30.77
04/14/2022 07:25:16,N,BASTEN_CCU,       30.77
